repeat,fold,accuracy,bac,precision,recall,gmean_pdf,dataset,classifier,reducer,n_components
0,0,0.9588431590656284,0.9588311172232133,0.9594507962850196,0.9588311172232133,0.9591409067090544,digits,knn,none,
0,1,0.965478841870824,0.9653065048787554,0.9668133112906607,0.9653065048787554,0.9660596143055789,digits,knn,none,
1,0,0.9655172413793104,0.9654358728361053,0.9658648855984268,0.9654358728361053,0.9656503553923967,digits,knn,none,
1,1,0.9599109131403119,0.9596469100128366,0.9613833632955693,0.9596469100128366,0.9605147442514047,digits,knn,none,
2,0,0.9733036707452726,0.97320171498397,0.9739028502083604,0.97320171498397,0.9735522194780066,digits,knn,none,
2,1,0.9688195991091314,0.968692614849396,0.9695189850530441,0.968692614849396,0.969105711869023,digits,knn,none,
3,0,0.9632925472747497,0.9630984337028506,0.9639068872935741,0.9630984337028506,0.9635025757037867,digits,knn,none,
3,1,0.9643652561247216,0.9642464952125852,0.9650117916553607,0.9642464952125852,0.9646290675396937,digits,knn,none,
4,0,0.9588431590656284,0.9586142653248426,0.96030488012653,0.9586142653248426,0.9594592003573443,digits,knn,none,
4,1,0.9688195991091314,0.9688264392565473,0.9691050448982208,0.9688264392565473,0.9689657320639877,digits,knn,none,
0,0,0.9632925472747497,0.9633413897652565,0.9655909360402563,0.9633413897652565,0.9644655070399124,digits,knn,pca,19.0
0,1,0.9599109131403119,0.9597362690569318,0.9603964824013909,0.9597362690569318,0.960066318977659,digits,knn,pca,19.0
1,0,0.9699666295884316,0.969943325863512,0.9705123468640101,0.969943325863512,0.9702277946487001,digits,knn,pca,19.0
1,1,0.955456570155902,0.9552135585067715,0.9562678484436427,0.9552135585067715,0.9557405581000871,digits,knn,pca,19.0
2,0,0.9621802002224694,0.9620503311747017,0.9631370282524425,0.9620503311747017,0.9625935263634804,digits,knn,pca,19.0
2,1,0.967706013363029,0.9677800029735157,0.9683315918522748,0.9677800029735157,0.96805575812664,digits,knn,pca,19.0
3,0,0.967741935483871,0.9676319908942924,0.9678655111123694,0.9676319908942924,0.9677487439597036,digits,knn,pca,19.0
3,1,0.9543429844097996,0.9541901312473892,0.9552442602417834,0.9541901312473892,0.954717050258045,digits,knn,pca,19.0
4,0,0.9599555061179088,0.9598386348250741,0.9607968552494659,0.9598386348250741,0.9603176255213021,digits,knn,pca,19.0
4,1,0.9565701559020044,0.9565384263758672,0.9569726011510216,0.9565384263758672,0.9567554891349297,digits,knn,pca,19.0
0,0,0.96440489432703,0.9644144610824193,0.9659557308473736,0.9644144610824193,0.965184788314986,digits,knn,pca,32.0
0,1,0.965478841870824,0.9652307281650476,0.9663043814114449,0.9652307281650476,0.9657674055893815,digits,knn,pca,32.0
1,0,0.9721913236929922,0.9721907912570446,0.9724117377328845,0.9721907912570446,0.972301258218959,digits,knn,pca,32.0
1,1,0.9576837416481069,0.9575235020198635,0.9589159322018125,0.9575235020198635,0.9582194641857998,digits,knn,pca,32.0
2,0,0.9688542825361512,0.9687433763877003,0.9698549392301024,0.9687433763877003,0.9692989984705737,digits,knn,pca,32.0
2,1,0.9732739420935412,0.9731384690511587,0.9737894381635069,0.9731384690511587,0.9734638991932999,digits,knn,pca,32.0
3,0,0.96440489432703,0.964082666655313,0.9646309214004996,0.964082666655313,0.96435675506628,digits,knn,pca,32.0
3,1,0.9621380846325167,0.962024007555315,0.9627159673951617,0.962024007555315,0.962369925283924,digits,knn,pca,32.0
4,0,0.9566184649610678,0.9563548643013966,0.9581189356280172,0.9563548643013966,0.957236493593475,digits,knn,pca,32.0
4,1,0.9610244988864143,0.9608818224434013,0.9613442459201824,0.9608818224434013,0.9611130063708753,digits,knn,pca,32.0
0,0,0.9610678531701891,0.9610164350265087,0.9618585361396853,0.9610164350265087,0.9614373933859535,digits,knn,pca,44.0
0,1,0.9643652561247216,0.9640824008135718,0.965285919621423,0.9640824008135718,0.9646839725320193,digits,knn,pca,44.0
1,0,0.9721913236929922,0.9720906038728587,0.9725760800618184,0.9720906038728587,0.9723333116681702,digits,knn,pca,44.0
1,1,0.9610244988864143,0.9606955523583306,0.9629300112966105,0.9606955523583306,0.9618121329474955,digits,knn,pca,44.0
2,0,0.9699666295884316,0.9698039633103562,0.9709841986004337,0.9698039633103562,0.9703939015237218,digits,knn,pca,44.0
2,1,0.9699331848552338,0.969717102605518,0.970584654169904,0.969717102605518,0.9701507814123628,digits,knn,pca,44.0
3,0,0.9699666295884316,0.9697792689036394,0.9703994134894343,0.9697792689036394,0.9700892916419106,digits,knn,pca,44.0
3,1,0.9632516703786191,0.9631475941136841,0.9638122036926282,0.9631475941136841,0.9634798415970948,digits,knn,pca,44.0
4,0,0.9555061179087876,0.9552054390140403,0.9569293805526762,0.9552054390140403,0.9560670212156952,digits,knn,pca,44.0
4,1,0.9632516703786191,0.963129837008221,0.9634211313352695,0.963129837008221,0.9632754731608264,digits,knn,pca,44.0
