dataset,reducer,n_components,classifier,accuracy_mean,bac_mean,precision_mean,recall_mean,gmean_pdf_mean,accuracy_std,bac_std,precision_std,recall_std,gmean_pdf_std,n_samples,n_features,n_classes,name
synthetic,ica,5,logreg,0.7020000000000001,0.7019878121953049,0.6956966961711365,0.7140502512562814,0.7046183086909372,0.021894634045811292,0.021911358910703106,0.015729017321333024,0.04650816344947132,0.02898932762998834,2000,20,2,syn_E1_f20_inf40
synthetic,ica,5,mlp,0.8925000000000001,0.892500887522188,0.8811359592965617,0.9076783919597989,0.8941156006321898,0.006373774391990987,0.006320062951412865,0.021480295655850926,0.02196415817501925,0.006004699716262857,2000,20,2,syn_E1_f20_inf40
synthetic,ica,5,rf,0.8505,0.8504976999424987,0.8416258062398125,0.862537688442211,0.8518506036661506,0.016900443781155565,0.01694589467278945,0.01297530883722497,0.03652263069612913,0.01971987131569213,2000,20,2,syn_E1_f20_inf40
synthetic,ica,5,svm_rbf,0.8480000000000001,0.8480727268181705,0.8244103805086812,0.8836180904522614,0.8534067026205253,0.007582875444051558,0.00760796786028943,0.011823670405502076,0.020423295392072577,0.008333073965669749,2000,20,2,syn_E1_f20_inf40
synthetic,kpca,5,knn,0.8089999999999999,0.8090795144878621,0.7852980331645174,0.8484824120603015,0.8161229223817319,0.021837467801922437,0.021864610234547607,0.011301827980702095,0.044506653587755435,0.02609088146913127,2000,20,2,syn_E1_f20_inf40
synthetic,kpca,5,logreg,0.6990000000000001,0.6989605240131003,0.7014918220807609,0.6900653266331658,0.6957379578851773,0.012449899597988744,0.012415358081202312,0.015196676723194144,0.008422738670044984,0.010901000463788384,2000,20,2,syn_E1_f20_inf40
synthetic,kpca,5,mlp,0.8539999999999999,0.8540178504462611,0.8365520259498822,0.8795879396984926,0.8574679217645294,0.031154855159348755,0.031215364934057688,0.029851179912543463,0.05325167085147212,0.033447633567628504,2000,20,2,syn_E1_f20_inf40
synthetic,kpca,5,rf,0.818,0.8180570764269106,0.7999599470250971,0.8464723618090453,0.8227732876527215,0.030943496893531583,0.030922215028846976,0.02756887698051043,0.04310969727147727,0.03231544314991627,2000,20,2,syn_E1_f20_inf40
synthetic,kpca,5,svm_rbf,0.8049999999999999,0.805104565114128,0.7779143108449567,0.8535175879396985,0.8144547873180912,0.017765838004439847,0.017866602750515125,0.019709068025617123,0.04665114018524975,0.021363944075857226,2000,20,2,syn_E1_f20_inf40
synthetic,none,5,knn,0.925,0.9250013625340634,0.9159619911765622,0.9357738693467337,0.9257154720797335,0.006123724356957962,0.006135567712190335,0.013981399899877015,0.01869873824754492,0.006470218822826593,2000,20,2,syn_E1_f20_inf40
synthetic,none,5,logreg,0.7125,0.71244796119903,0.7136032109682704,0.7060402010050252,0.7096502432200051,0.02263846284534356,0.02271069697184848,0.016447480501899897,0.04499598266622916,0.029456126701351084,2000,20,2,syn_E1_f20_inf40
synthetic,none,5,mlp,0.9460000000000001,0.9460217630440759,0.9379900232490967,0.9548743718592965,0.9463880440872472,0.012942179105544772,0.012950005119156872,0.01389018186257402,0.012718495181975984,0.01272771663847687,2000,20,2,syn_E1_f20_inf40
