repeat,fold,accuracy,bac,precision,recall,gmean_pdf,dataset,classifier,reducer,n_components
3,0,0.9438596491228071,0.9283756719721725,0.9267015706806283,0.9888268156424581,0.9572603424288453,breast_cancer,svm_rbf,ica,15.0
3,1,0.9753521126760564,0.9707971168115328,0.9723756906077348,0.9887640449438202,0.9805356296689807,breast_cancer,svm_rbf,ica,15.0
4,0,0.9368421052631579,0.9266364498787816,0.9351351351351351,0.9664804469273743,0.9506786120150679,breast_cancer,svm_rbf,ica,15.0
4,1,0.9647887323943662,0.9566461734153063,0.9565217391304348,0.9887640449438202,0.9725092821455774,breast_cancer,svm_rbf,ica,15.0
0,0,0.9543859649122807,0.9502213555391589,0.9611111111111111,0.9664804469273743,0.9637920399201957,breast_cancer,svm_rbf,ica,21.0
0,1,0.926056338028169,0.9181153275386899,0.9337016574585635,0.949438202247191,0.9415370534889644,breast_cancer,svm_rbf,ica,21.0
1,0,0.9508771929824561,0.9358859491936333,0.9319371727748691,0.994413407821229,0.962668592951042,breast_cancer,svm_rbf,ica,21.0
1,1,0.926056338028169,0.9276552893788426,0.9590643274853801,0.9213483146067416,0.9400171816132421,breast_cancer,svm_rbf,ica,21.0
2,0,0.9719298245614035,0.9622641509433962,0.9572192513368984,1.0,0.9783758231563668,breast_cancer,svm_rbf,ica,21.0
2,1,0.9014084507042254,0.8965444138223447,0.9261363636363636,0.9157303370786517,0.9209186524625962,breast_cancer,svm_rbf,ica,21.0
3,0,0.9298245614035088,0.9191261726573206,0.9297297297297298,0.9608938547486033,0.9451833599224952,breast_cancer,svm_rbf,ica,21.0
3,1,0.9507042253521126,0.9473182107271572,0.9606741573033708,0.9606741573033708,0.9606741573033708,breast_cancer,svm_rbf,ica,21.0
4,0,0.9298245614035088,0.9191261726573206,0.9297297297297298,0.9608938547486033,0.9451833599224952,breast_cancer,svm_rbf,ica,21.0
4,1,0.9507042253521126,0.9473182107271572,0.9606741573033708,0.9606741573033708,0.9606741573033708,breast_cancer,svm_rbf,ica,21.0
0,0,0.9754385964912281,0.9727521872035416,0.9777777777777777,0.9832402234636871,0.9805051966818175,breast_cancer,svm_rbf,none,
0,1,0.9823943661971831,0.9783230867076531,0.9779005524861878,0.9943820224719101,0.9861068548375544,breast_cancer,svm_rbf,none,
1,0,0.9614035087719298,0.9538842626752397,0.9565217391304348,0.9832402234636871,0.9697889711326291,breast_cancer,svm_rbf,none,
1,1,0.9753521126760564,0.9707971168115328,0.9723756906077348,0.9887640449438202,0.9805356296689807,breast_cancer,svm_rbf,none,
2,0,0.9754385964912281,0.9689048171181617,0.967391304347826,0.994413407821229,0.9808093003500453,breast_cancer,svm_rbf,none,
2,1,0.9436619718309859,0.9455162179351282,0.9709302325581395,0.9382022471910112,0.9544259667736087,breast_cancer,svm_rbf,none,
3,0,0.9578947368421052,0.9530146516285443,0.9613259668508287,0.9720670391061452,0.9666815847074658,breast_cancer,svm_rbf,none,
3,1,0.9859154929577465,0.9849480602077592,0.9887640449438202,0.9887640449438202,0.9887640449438202,breast_cancer,svm_rbf,none,
4,0,0.968421052631579,0.9613945398967008,0.9619565217391305,0.9888268156424581,0.9752991357413373,breast_cancer,svm_rbf,none,
4,1,0.9823943661971831,0.9821390714437142,0.9887005649717514,0.9831460674157303,0.985919404567984,breast_cancer,svm_rbf,none,
0,0,0.9588431590656284,0.958870841156777,0.9594690489770276,0.958870841156777,0.9591698984311878,digits,knn,ica,19.0
0,1,0.9543429844097996,0.954014167986255,0.9545601198836924,0.954014167986255,0.9542871048922859,digits,knn,ica,19.0
1,0,0.9510567296996663,0.9511898824839544,0.9522136647522288,0.9511898824839544,0.9517016359528274,digits,knn,ica,19.0
